species,Group,New_Group,number
American Wigeon,Waterfowl,Anseriformes,220
Blue-winged Teal,Waterfowl,Anseriformes,220
Bufflehead,Waterfowl,Anseriformes,220
Canada Goose,Waterfowl,Anseriformes,220
Canvasback,Waterfowl,Anseriformes,220
Cinnamon Teal,Waterfowl,Anseriformes,220
Common Goldeneye,Waterfowl,Anseriformes,220
Common Merganser,Waterfowl,Anseriformes,220
Gadwall,Waterfowl,Anseriformes,220
Greater Scaup,Waterfowl,Anseriformes,220
Greater White-fronted Goose,Waterfowl,Anseriformes,220
Green-winged Teal,Waterfowl,Anseriformes,220
Hooded Merganser,Waterfowl,Anseriformes,220
Mallard,Waterfowl,Anseriformes,220
Northern Pintail,Waterfowl,Anseriformes,220
Northern Shoveler,Waterfowl,Anseriformes,220
Redhead,Waterfowl,Anseriformes,220
Ring-necked Duck,Waterfowl,Anseriformes,220
Ruddy Duck,Waterfowl,Anseriformes,220
Snow Goose,Waterfowl,Anseriformes,220
Trumpeter Swan,Waterfowl,Anseriformes,220
Wood Duck,Waterfowl,Anseriformes,220
Clark's Grebe,Grebes,Podicipedidae,1780
Eared Grebe,Grebes,Podicipedidae,1780
Horned Grebe,Grebes,Podicipedidae,1780
Pied-billed Grebe,Grebes,Podicipedidae,1780
Red-necked Grebe,Grebes,Podicipedidae,1780
Western Grebe,Grebes,Podicipedidae,1780
Black-chinned Hummingbird,Hummingbirds,Caprimulgiformes,2000
Broad-tailed Hummingbird,Hummingbirds,Caprimulgiformes,2000
Calliope Hummingbird,Hummingbirds,Caprimulgiformes,2000
Ruby-throated Hummingbird,Hummingbirds,Caprimulgiformes,2000
Rufous Hummingbird,Hummingbirds,Caprimulgiformes,2000
Vaux's Swift,Swifts,Caprimulgiformes,2000
White-throated Swift,Swifts,Caprimulgiformes,2000
American Coot,"Rails, Gallinules, and Allies",Gruiformes,3000
Sora,"Rails, Gallinules, and Allies",Gruiformes,3000
Virginia Rail,"Rails, Gallinules, and Allies",Gruiformes,3000
Black Tern,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Bonaparte's Gull,"Gulls, Terns, and Skimmers",Charadriiformes,4000
California Gull,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Caspian Tern,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Common Tern,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Forster's Tern,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Franklin's Gull,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Herring Gull,"Gulls, Terns, and Skimmers",Charadriiformes,4000
Ring-billed Gull,"Gulls, Terns, and Skimmers",Charadriiformes,4000
American Avocet,Shorebirds,Charadriiformes,4000
American Woodcock,Shorebirds,Charadriiformes,4000
Black-necked Stilt,Shorebirds,Charadriiformes,4000
Greater Yellowlegs,Shorebirds,Charadriiformes,4000
Killdeer,Shorebirds,Charadriiformes,4000
Least Sandpiper,Shorebirds,Charadriiformes,4000
Lesser Yellowlegs,Shorebirds,Charadriiformes,4000
Long-billed Curlew,Shorebirds,Charadriiformes,4000
Marbled Godwit,Shorebirds,Charadriiformes,4000
Pectoral Sandpiper,Shorebirds,Charadriiformes,4000
Semipalmated Plover,Shorebirds,Charadriiformes,4000
Semipalmated Sandpiper,Shorebirds,Charadriiformes,4000
Short-billed Dowitcher,Shorebirds,Charadriiformes,4000
Solitary Sandpiper,Shorebirds,Charadriiformes,4000
Spotted Sandpiper,Shorebirds,Charadriiformes,4000
Western Sandpiper,Shorebirds,Charadriiformes,4000
Whimbrel,Shorebirds,Charadriiformes,4000
Willet,Shorebirds,Charadriiformes,4000
Wilson's Phalarope,Shorebirds,Charadriiformes,4000
Wilson's Snipe,Shorebirds,Charadriiformes,4000
American Bittern,"Herons, Ibis, and Allies",Pelecaniformes,5000
Black-crowned Night-Heron,"Herons, Ibis, and Allies",Pelecaniformes,5000
Cattle Egret,"Herons, Ibis, and Allies",Pelecaniformes,5000
Great Blue Heron,"Herons, Ibis, and Allies",Pelecaniformes,5000
Great Egret,"Herons, Ibis, and Allies",Pelecaniformes,5000
Green Heron,"Herons, Ibis, and Allies",Pelecaniformes,5000
Snowy Egret,"Herons, Ibis, and Allies",Pelecaniformes,5000
White-faced Ibis,"Herons, Ibis, and Allies",Pelecaniformes,5000
